Emoji,Unicode codepoint,Occurrences,Negative,Neutral,Positive,p-,p0,p+,score,polarity
🙌,0x1f64c,1506,152,358,996,0.10092961487383798,0.23771580345285526,0.6613545816733067,0.5604249667994687,1
🙈,0x1f648,1456,238,350,868,0.16346153846153846,0.2403846153846154,0.5961538461538461,0.4326923076923077,1
💪,0x1f4aa,1409,101,424,884,0.0716820440028389,0.30092264017033354,0.6273953158268275,0.5557132718239886,1
😄,0x1f604,1398,191,426,781,0.13662374821173104,0.30472103004291845,0.5586552217453505,0.4220314735336195,1
😒,0x1f612,1385,819,266,300,0.5913357400722021,0.192057761732852,0.21660649819494585,-0.3747292418772563,-1
💃,0x1f483,1344,59,237,1048,0.04389880952380952,0.17633928571428573,0.7797619047619048,0.7358630952380952,1
💖,0x1f496,1263,54,254,955,0.04275534441805225,0.20110847189231987,0.7561361836896279,0.7133808392715756,1
😃,0x1f603,1206,86,361,759,0.07131011608623548,0.29933665008291876,0.6293532338308457,0.5580431177446102,1
😔,0x1f614,1205,559,263,383,0.46390041493775935,0.21825726141078838,0.31784232365145226,-0.1460580912863071,-1
😱,0x1f631,1130,298,319,513,0.26371681415929205,0.28230088495575223,0.4539823008849557,0.19026548672566368,1
🎉,0x1f389,1125,43,207,875,0.03822222222222222,0.184,0.7777777777777778,0.7395555555555555,1
😜,0x1f61c,1035,115,333,587,0.1111111111111111,0.3217391304347826,0.5671497584541063,0.4560386473429952,1
☯,0x262f,992,5,981,6,0.005040322580645161,0.9889112903225806,0.006048387096774193,0.0010080645161290322,0
🌸,0x1f338,946,37,255,654,0.039112050739957716,0.26955602536997886,0.6913319238900634,0.6522198731501057,1
💜,0x1f49c,939,41,241,657,0.043663471778487756,0.2566560170394036,0.6996805111821086,0.6560170394036209,1
💙,0x1f499,912,29,186,697,0.03179824561403509,0.20394736842105263,0.7642543859649122,0.7324561403508771,1
✨,0x2728,848,43,463,342,0.05070754716981132,0.5459905660377359,0.4033018867924528,0.35259433962264153,0
😳,0x1f633,846,277,277,292,0.32742316784869974,0.32742316784869974,0.34515366430260047,0.017730496453900735,1
💗,0x1f497,836,42,201,593,0.050239234449760764,0.24043062200956938,0.7093301435406698,0.6590909090909091,1
★,0x2605,828,25,543,260,0.030193236714975844,0.6557971014492754,0.3140096618357488,0.28381642512077293,0
█,0x2588,798,71,682,45,0.08897243107769423,0.8546365914786967,0.05639097744360902,-0.03258145363408521,0
☀,0x2600,786,21,377,388,0.026717557251908396,0.4796437659033079,0.49363867684478374,0.46692111959287536,1
😡,0x1f621,756,403,81,272,0.533068783068783,0.10714285714285714,0.35978835978835977,-0.17328042328042326,-1
😎,0x1f60e,754,79,224,451,0.10477453580901856,0.29708222811671087,0.5981432360742706,0.493368700265252,1
😢,0x1f622,749,288,168,293,0.38451268357810414,0.22429906542056074,0.39118825100133514,0.006675567423230999,1
💋,0x1f48b,734,28,169,537,0.03814713896457766,0.23024523160762944,0.7316076294277929,0.6934604904632152,1
😋,0x1f60b,734,33,203,498,0.04495912806539509,0.276566757493188,0.6784741144414169,0.6335149863760219,1
🙊,0x1f64a,725,97,197,431,0.13379310344827586,0.2717241379310345,0.5944827586206897,0.4606896551724138,1
😴,0x1f634,718,303,170,245,0.4220055710306407,0.23676880222841226,0.3412256267409471,-0.0807799442896936,-1
🎶,0x1f3b6,701,67,189,445,0.09557774607703282,0.26961483594864477,0.6348074179743224,0.5392296718972895,1
💞,0x1f49e,687,27,123,537,0.039301310043668124,0.17903930131004367,0.7816593886462883,0.7423580786026202,1
😌,0x1f60c,665,93,157,415,0.13984962406015036,0.23609022556390977,0.6240601503759399,0.48421052631578954,1
🔥,0x1f525,651,80,400,171,0.1228878648233487,0.6144393241167435,0.2626728110599078,0.13978494623655913,0
💯,0x1f4af,637,179,202,256,0.28100470957613816,0.31711145996860285,0.40188383045525905,0.1208791208791209,1
🔫,0x1f52b,604,298,126,180,0.49337748344370863,0.20860927152317882,0.2980132450331126,-0.19536423841059603,-1
💛,0x1f49b,602,25,123,454,0.04152823920265781,0.20431893687707642,0.7541528239202658,0.712624584717608,1
💁,0x1f481,549,105,159,285,0.1912568306010929,0.2896174863387978,0.5191256830601093,0.3278688524590164,1
💚,0x1f49a,537,41,101,395,0.07635009310986965,0.18808193668528864,0.7355679702048417,0.659217877094972,1
♫,0x266b,533,33,313,187,0.06191369606003752,0.5872420262664165,0.350844277673546,0.2889305816135085,0
😞,0x1f61e,532,255,85,192,0.4793233082706767,0.15977443609022557,0.3609022556390977,-0.11842105263157898,-1
😆,0x1f606,527,81,148,298,0.15370018975332067,0.2808349146110057,0.5654648956356736,0.4117647058823529,1
😝,0x1f61d,496,65,155,276,0.1310483870967742,0.3125,0.5564516129032258,0.42540322580645157,1
😪,0x1f62a,482,208,105,169,0.4315352697095436,0.21784232365145229,0.3506224066390041,-0.08091286307053946,-1
�,0xfffd,472,78,275,119,0.1652542372881356,0.5826271186440678,0.2521186440677966,0.08686440677966101,0
😫,0x1f62b,467,227,81,159,0.4860813704496788,0.1734475374732334,0.3404710920770878,-0.145610278372591,-1
😅,0x1f605,462,135,109,218,0.2922077922077922,0.23593073593073594,0.47186147186147187,0.17965367965367968,1
👊,0x1f44a,458,121,111,226,0.26419213973799127,0.2423580786026201,0.49344978165938863,0.22925764192139736,1
💀,0x1f480,456,214,123,119,0.4692982456140351,0.26973684210526316,0.26096491228070173,-0.20833333333333337,-1
😀,0x1f600,439,37,114,288,0.08428246013667426,0.25968109339407747,0.6560364464692483,0.571753986332574,1
😚,0x1f61a,424,20,81,323,0.04716981132075472,0.19103773584905662,0.7617924528301887,0.714622641509434,1
😻,0x1f63b,417,28,101,288,0.0671462829736211,0.2422062350119904,0.6906474820143885,0.6235011990407674,1
©,0xa9,416,54,259,103,0.12980769230769232,0.6225961538461539,0.24759615384615385,0.11778846153846154,0
👀,0x1f440,410,93,198,119,0.22682926829268293,0.48292682926829267,0.29024390243902437,0.06341463414634144,0
💘,0x1f498,395,18,87,290,0.04556962025316456,0.22025316455696203,0.7341772151898734,0.6886075949367089,1
🐓,0x1f413,384,41,291,52,0.10677083333333333,0.7578125,0.13541666666666666,0.02864583333333333,0
☕,0x2615,382,53,182,147,0.1387434554973822,0.47643979057591623,0.38481675392670156,0.24607329842931935,0
👋,0x1f44b,382,60,103,219,0.15706806282722513,0.2696335078534031,0.5732984293193717,0.41623036649214656,1
✋,0x270b,378,124,82,172,0.328042328042328,0.21693121693121692,0.455026455026455,0.12698412698412698,1
🎊,0x1f38a,363,20,59,284,0.05509641873278237,0.162534435261708,0.7823691460055097,0.7272727272727273,1
🍕,0x1f355,352,19,166,167,0.05397727272727273,0.4715909090909091,0.4744318181818182,0.42045454545454547,1
❄,0x2744,349,34,103,212,0.09742120343839542,0.29512893982808025,0.6074498567335244,0.5100286532951289,1
😥,0x1f625,341,108,83,150,0.31671554252199413,0.2434017595307918,0.4398826979472141,0.12316715542521994,1
😕,0x1f615,340,205,66,69,0.6029411764705882,0.19411764705882353,0.20294117647058824,-0.39999999999999997,-1
💥,0x1f4a5,329,23,234,72,0.06990881458966565,0.7112462006079028,0.2188449848024316,0.14893617021276595,0
💔,0x1f494,328,136,96,96,0.4146341463414634,0.2926829268292683,0.2926829268292683,-0.12195121951219512,-1
😤,0x1f624,327,157,82,88,0.4801223241590214,0.25076452599388377,0.2691131498470948,-0.21100917431192662,-1
😈,0x1f608,325,66,106,153,0.20307692307692307,0.3261538461538461,0.4707692307692308,0.2676923076923077,1
►,0x25ba,325,40,192,93,0.12307692307692308,0.5907692307692308,0.28615384615384615,0.16307692307692306,0
✈,0x2708,322,13,161,148,0.040372670807453416,0.5,0.45962732919254656,0.4192546583850931,0
🔝,0x1f51d,303,26,106,171,0.0858085808580858,0.34983498349834985,0.5643564356435643,0.4785478547854785,1
😰,0x1f630,302,132,44,126,0.4370860927152318,0.1456953642384106,0.41721854304635764,-0.019867549668874163,-1
⚽,0x26bd,299,15,83,201,0.05016722408026756,0.27759197324414714,0.6722408026755853,0.6220735785953178,1
😑,0x1f611,299,154,85,60,0.5150501672240803,0.2842809364548495,0.20066889632107024,-0.31438127090301005,-1
👑,0x1f451,298,12,65,221,0.040268456375838924,0.2181208053691275,0.7416107382550335,0.7013422818791946,1
😹,0x1f639,295,88,77,130,0.2983050847457627,0.26101694915254237,0.4406779661016949,0.14237288135593218,1
👉,0x1f449,292,20,137,135,0.0684931506849315,0.4691780821917808,0.4623287671232877,0.3938356164383562,0
🍃,0x1f343,291,29,122,140,0.09965635738831616,0.41924398625429554,0.48109965635738833,0.38144329896907214,1
🎁,0x1f381,288,11,45,232,0.03819444444444445,0.15625,0.8055555555555556,0.7673611111111112,1
😠,0x1f620,288,163,49,76,0.5659722222222222,0.1701388888888889,0.2638888888888889,-0.3020833333333333,-1
🐧,0x1f427,284,11,131,142,0.03873239436619718,0.4612676056338028,0.5,0.4612676056338028,1
☆,0x2606,282,8,144,130,0.028368794326241134,0.5106382978723404,0.46099290780141844,0.4326241134751773,0
🍀,0x1f340,278,6,186,86,0.02158273381294964,0.6690647482014388,0.30935251798561153,0.2877697841726619,0
🎈,0x1f388,277,4,68,205,0.01444043321299639,0.24548736462093862,0.740072202166065,0.7256317689530686,1
🎅,0x1f385,274,7,172,95,0.025547445255474453,0.6277372262773723,0.3467153284671533,0.32116788321167883,0
😓,0x1f613,273,118,59,96,0.43223443223443225,0.21611721611721613,0.3516483516483517,-0.08058608058608058,-1
😣,0x1f623,271,147,35,89,0.5424354243542435,0.12915129151291513,0.3284132841328413,-0.2140221402214022,-1
😐,0x1f610,270,150,76,44,0.5555555555555556,0.2814814814814815,0.16296296296296298,-0.3925925925925926,-1
✊,0x270a,270,37,79,154,0.13703703703703704,0.29259259259259257,0.5703703703703704,0.43333333333333335,1
😨,0x1f628,269,117,73,79,0.4349442379182156,0.27137546468401486,0.2936802973977695,-0.1412639405204461,-1
😖,0x1f616,268,130,50,88,0.48507462686567165,0.1865671641791045,0.3283582089552239,-0.15671641791044777,-1
💤,0x1f4a4,267,38,91,138,0.14232209737827714,0.3408239700374532,0.5168539325842697,0.37453183520599254,1
💓,0x1f493,259,15,55,189,0.05791505791505792,0.21235521235521235,0.7297297297297297,0.6718146718146718,1
👎,0x1f44e,258,128,51,79,0.49612403100775193,0.19767441860465115,0.3062015503875969,-0.18992248062015504,-1
💦,0x1f4a6,252,35,62,155,0.1388888888888889,0.24603174603174602,0.6150793650793651,0.4761904761904762,1
✔,0x2714,249,31,119,99,0.12449799196787148,0.4779116465863454,0.39759036144578314,0.27309236947791166,0
😷,0x1f637,246,117,54,75,0.47560975609756095,0.21951219512195122,0.3048780487804878,-0.17073170731707316,-1
⚡,0x26a1,246,10,182,54,0.04065040650406504,0.7398373983739838,0.21951219512195122,0.17886178861788618,0
🙋,0x1f64b,236,30,60,146,0.1271186440677966,0.2542372881355932,0.6186440677966102,0.4915254237288136,1
🎄,0x1f384,236,15,79,142,0.0635593220338983,0.3347457627118644,0.6016949152542372,0.5381355932203389,1
💩,0x1f4a9,229,94,68,67,0.4104803493449782,0.29694323144104806,0.2925764192139738,-0.11790393013100436,-1
🎵,0x1f3b5,223,23,64,136,0.1031390134529148,0.28699551569506726,0.6098654708520179,0.5067264573991032,1
➡,0x27a1,222,2,185,35,0.009009009009009009,0.8333333333333334,0.15765765765765766,0.14864864864864866,0
😛,0x1f61b,220,18,50,152,0.08181818181818182,0.22727272727272727,0.6909090909090909,0.6090909090909091,1
😬,0x1f62c,214,57,58,99,0.26635514018691586,0.27102803738317754,0.46261682242990654,0.19626168224299068,1
👯,0x1f46f,211,24,69,118,0.11374407582938388,0.32701421800947866,0.5592417061611374,0.44549763033175355,1
💎,0x1f48e,209,11,68,130,0.05263157894736842,0.3253588516746411,0.6220095693779905,0.569377990430622,1
🌿,0x1f33f,208,1,125,82,0.004807692307692308,0.6009615384615384,0.3942307692307692,0.3894230769230769,0
🎂,0x1f382,201,16,44,141,0.07960199004975124,0.21890547263681592,0.7014925373134329,0.6218905472636816,1
🌟,0x1f31f,199,11,111,77,0.05527638190954774,0.5577889447236181,0.3869346733668342,0.3316582914572864,0
🔮,0x1f52e,199,6,133,60,0.03015075376884422,0.6683417085427136,0.3015075376884422,0.27135678391959794,0
❗,0x2757,198,31,116,51,0.15656565656565657,0.5858585858585859,0.25757575757575757,0.101010101010101,0
👫,0x1f46b,197,43,60,94,0.2182741116751269,0.30456852791878175,0.47715736040609136,0.25888324873096447,1
🏆,0x1f3c6,194,6,39,149,0.030927835051546393,0.20103092783505155,0.7680412371134021,0.7371134020618557,1
✖,0x2716,193,8,116,69,0.04145077720207254,0.6010362694300518,0.35751295336787564,0.3160621761658031,0
☝,0x261d,191,27,77,87,0.14136125654450263,0.4031413612565445,0.45549738219895286,0.31413612565445026,1
😙,0x1f619,191,3,34,154,0.015706806282722512,0.17801047120418848,0.806282722513089,0.7905759162303665,1
⛄,0x26c4,191,14,62,115,0.07329842931937172,0.32460732984293195,0.6020942408376964,0.5287958115183247,1
👅,0x1f445,190,23,55,112,0.12105263157894737,0.2894736842105263,0.5894736842105263,0.4684210526315789,1
♪,0x266a,190,15,57,118,0.07894736842105263,0.3,0.6210526315789474,0.5421052631578948,1
🍂,0x1f342,189,6,72,111,0.031746031746031744,0.38095238095238093,0.5873015873015873,0.5555555555555556,1
💏,0x1f48f,185,33,46,106,0.1783783783783784,0.24864864864864866,0.572972972972973,0.3945945945945946,1
🔪,0x1f52a,183,38,94,51,0.20765027322404372,0.5136612021857924,0.2786885245901639,0.07103825136612019,0
🌴,0x1f334,178,13,57,108,0.07303370786516854,0.3202247191011236,0.6067415730337079,0.5337078651685394,1
👈,0x1f448,174,14,71,89,0.08045977011494253,0.40804597701149425,0.5114942528735632,0.43103448275862066,1
🌹,0x1f339,172,3,61,108,0.01744186046511628,0.3546511627906977,0.627906976744186,0.6104651162790697,1
🙆,0x1f646,171,15,54,102,0.08771929824561403,0.3157894736842105,0.5964912280701754,0.5087719298245614,1
➜,0x279c,170,8,126,36,0.047058823529411764,0.7411764705882353,0.21176470588235294,0.16470588235294117,0
👻,0x1f47b,168,28,73,67,0.16666666666666666,0.43452380952380953,0.39880952380952384,0.23214285714285718,0
💰,0x1f4b0,168,26,73,69,0.15476190476190477,0.43452380952380953,0.4107142857142857,0.25595238095238093,0
🍻,0x1f37b,165,17,45,103,0.10303030303030303,0.2727272727272727,0.6242424242424243,0.5212121212121212,1
🙅,0x1f645,165,76,47,42,0.46060606060606063,0.28484848484848485,0.2545454545454545,-0.2060606060606061,-1
🌞,0x1f31e,162,3,64,95,0.018518518518518517,0.3950617283950617,0.5864197530864198,0.5679012345679013,1
🍁,0x1f341,161,5,72,84,0.031055900621118012,0.4472049689440994,0.5217391304347826,0.4906832298136646,1
⭐,0x2b50,159,5,55,99,0.031446540880503145,0.34591194968553457,0.6226415094339622,0.5911949685534591,1
▪,0x25aa,159,15,97,47,0.09433962264150944,0.610062893081761,0.29559748427672955,0.2012578616352201,0
🎀,0x1f380,156,6,44,106,0.038461538461538464,0.28205128205128205,0.6794871794871795,0.6410256410256411,1
━,0x2501,156,14,100,42,0.08974358974358974,0.6410256410256411,0.2692307692307692,0.17948717948717946,0
☷,0x2637,154,2,140,12,0.012987012987012988,0.9090909090909091,0.07792207792207792,0.06493506493506493,0
🐷,0x1f437,152,11,73,68,0.07236842105263158,0.48026315789473684,0.4473684210526316,0.375,0
🙉,0x1f649,150,26,47,77,0.17333333333333334,0.31333333333333335,0.5133333333333333,0.33999999999999997,1
🌺,0x1f33a,150,2,62,86,0.013333333333333334,0.41333333333333333,0.5733333333333334,0.56,1
💅,0x1f485,149,27,36,86,0.18120805369127516,0.24161073825503357,0.5771812080536913,0.3959731543624162,1
🐶,0x1f436,148,12,37,99,0.08108108108108109,0.25,0.668918918918919,0.5878378378378379,1
🌚,0x1f31a,148,23,32,93,0.1554054054054054,0.21621621621621623,0.6283783783783784,0.472972972972973,1
👽,0x1f47d,146,13,73,60,0.08904109589041095,0.5,0.410958904109589,0.32191780821917804,0
🎤,0x1f3a4,144,17,40,87,0.11805555555555555,0.2777777777777778,0.6041666666666666,0.48611111111111105,1
👭,0x1f46d,144,20,36,88,0.1388888888888889,0.25,0.6111111111111112,0.47222222222222227,1
🎧,0x1f3a7,142,18,46,78,0.1267605633802817,0.323943661971831,0.5492957746478874,0.4225352112676057,1
👆,0x1f446,138,16,60,62,0.11594202898550725,0.43478260869565216,0.4492753623188406,0.3333333333333333,1
🍸,0x1f378,138,12,38,88,0.08695652173913043,0.2753623188405797,0.6376811594202898,0.5507246376811594,1
🍷,0x1f377,137,7,68,62,0.051094890510948905,0.49635036496350365,0.45255474452554745,0.40145985401459855,0
®,0xae,137,9,80,48,0.06569343065693431,0.583941605839416,0.35036496350364965,0.2846715328467153,0
🍉,0x1f349,136,10,33,93,0.07352941176470588,0.2426470588235294,0.6838235294117647,0.6102941176470589,1
😇,0x1f607,135,9,36,90,0.06666666666666667,0.26666666666666666,0.6666666666666666,0.6,1
☑,0x2611,135,2,117,16,0.014814814814814815,0.8666666666666667,0.11851851851851852,0.10370370370370371,0
🏃,0x1f3c3,135,12,55,68,0.08888888888888889,0.4074074074074074,0.5037037037037037,0.41481481481481475,1
😿,0x1f63f,134,78,29,27,0.582089552238806,0.21641791044776118,0.20149253731343283,-0.3805970149253731,-1
│,0x2502,134,0,87,47,0.0,0.6492537313432836,0.35074626865671643,0.35074626865671643,0
💣,0x1f4a3,131,40,50,41,0.3053435114503817,0.3816793893129771,0.31297709923664124,0.007633587786259555,0
🍺,0x1f37a,131,8,49,74,0.061068702290076333,0.37404580152671757,0.5648854961832062,0.5038167938931298,1
▶,0x25b6,131,7,89,35,0.05343511450381679,0.6793893129770993,0.26717557251908397,0.21374045801526717,0
😲,0x1f632,129,50,38,41,0.3875968992248062,0.29457364341085274,0.3178294573643411,-0.06976744186046513,-1
🎸,0x1f3b8,125,1,57,67,0.008,0.456,0.536,0.528,1
🍹,0x1f379,123,5,30,88,0.04065040650406504,0.24390243902439024,0.7154471544715447,0.6747967479674797,1
💫,0x1f4ab,121,4,51,66,0.03305785123966942,0.4214876033057851,0.5454545454545454,0.512396694214876,1
📚,0x1f4da,119,22,34,63,0.18487394957983194,0.2857142857142857,0.5294117647058824,0.3445378151260504,1
😶,0x1f636,117,50,34,33,0.42735042735042733,0.2905982905982906,0.28205128205128205,-0.14529914529914528,-1
🌷,0x1f337,116,0,52,64,0.0,0.4482758620689655,0.5517241379310345,0.5517241379310345,1
💝,0x1f49d,115,8,23,84,0.06956521739130435,0.2,0.7304347826086957,0.6608695652173913,1
💨,0x1f4a8,115,12,46,57,0.10434782608695652,0.4,0.4956521739130435,0.391304347826087,1
🏈,0x1f3c8,114,7,38,69,0.06140350877192982,0.3333333333333333,0.6052631578947368,0.543859649122807,1
💍,0x1f48d,112,16,25,71,0.14285714285714285,0.22321428571428573,0.6339285714285714,0.49107142857142855,1
☔,0x2614,111,21,36,54,0.1891891891891892,0.32432432432432434,0.4864864864864865,0.2972972972972973,1
👸,0x1f478,111,6,30,75,0.05405405405405406,0.2702702702702703,0.6756756756756757,0.6216216216216216,1
🇪,0x1f1ea,109,2,36,71,0.01834862385321101,0.3302752293577982,0.6513761467889908,0.6330275229357798,1
░,0x2591,108,25,63,20,0.23148148148148148,0.5833333333333334,0.18518518518518517,-0.04629629629629631,0
🍩,0x1f369,107,15,35,57,0.14018691588785046,0.32710280373831774,0.5327102803738317,0.39252336448598124,1
👾,0x1f47e,105,1,64,40,0.009523809523809525,0.6095238095238096,0.38095238095238093,0.3714285714285714,0
☁,0x2601,104,14,43,47,0.1346153846153846,0.41346153846153844,0.4519230769230769,0.3173076923076923,1
🌻,0x1f33b,104,1,41,62,0.009615384615384616,0.3942307692307692,0.5961538461538461,0.5865384615384616,1
😵,0x1f635,103,33,28,42,0.32038834951456313,0.27184466019417475,0.4077669902912621,0.08737864077669899,1
📒,0x1f4d2,102,0,98,4,0.0,0.9607843137254902,0.0392156862745098,0.0392156862745098,0
↿,0x21bf,102,0,34,68,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1
🐯,0x1f42f,100,4,43,53,0.04,0.43,0.53,0.49000000000000005,1
👼,0x1f47c,99,17,31,51,0.1717171717171717,0.31313131313131315,0.5151515151515151,0.3434343434343434,1
🍔,0x1f354,98,16,38,44,0.16326530612244897,0.3877551020408163,0.4489795918367347,0.2857142857142857,1
😸,0x1f638,97,11,34,52,0.1134020618556701,0.35051546391752575,0.5360824742268041,0.422680412371134,1
👶,0x1f476,96,13,27,56,0.13541666666666666,0.28125,0.5833333333333334,0.44791666666666674,1
↾,0x21be,96,0,32,64,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1
💐,0x1f490,95,3,17,75,0.031578947368421054,0.17894736842105263,0.7894736842105263,0.7578947368421053,1
🌊,0x1f30a,95,8,30,57,0.08421052631578947,0.3157894736842105,0.6,0.5157894736842105,1
🍦,0x1f366,95,13,24,58,0.1368421052631579,0.25263157894736843,0.6105263157894737,0.4736842105263158,1
🍓,0x1f353,94,3,23,68,0.031914893617021274,0.24468085106382978,0.723404255319149,0.6914893617021277,1
👇,0x1f447,94,13,44,37,0.13829787234042554,0.46808510638297873,0.39361702127659576,0.25531914893617025,0
💆,0x1f486,92,24,23,45,0.2608695652173913,0.25,0.4891304347826087,0.2282608695652174,1
🍴,0x1f374,92,4,33,55,0.043478260869565216,0.358695652173913,0.5978260869565217,0.5543478260869565,1
😧,0x1f627,92,36,26,30,0.391304347826087,0.2826086956521739,0.32608695652173914,-0.06521739130434784,-1
🇸,0x1f1f8,91,8,27,56,0.08791208791208792,0.2967032967032967,0.6153846153846154,0.5274725274725275,1
😮,0x1f62e,90,16,33,41,0.17777777777777778,0.36666666666666664,0.45555555555555555,0.2777777777777778,1
▓,0x2593,90,2,85,3,0.022222222222222223,0.9444444444444444,0.03333333333333333,0.01111111111111111,0
🚫,0x1f6ab,88,48,32,8,0.5454545454545454,0.36363636363636365,0.09090909090909091,-0.4545454545454545,-1
😽,0x1f63d,88,11,14,63,0.125,0.1590909090909091,0.7159090909090909,0.5909090909090909,1
🌈,0x1f308,88,5,31,52,0.056818181818181816,0.3522727272727273,0.5909090909090909,0.5340909090909092,1
🙀,0x1f640,88,14,30,44,0.1590909090909091,0.3409090909090909,0.5,0.34090909090909094,1
⚠,0x26a0,88,16,62,10,0.18181818181818182,0.7045454545454546,0.11363636363636363,-0.06818181818181819,0
🎮,0x1f3ae,86,8,32,46,0.09302325581395349,0.37209302325581395,0.5348837209302325,0.441860465116279,1
╯,0x256f,84,19,47,18,0.2261904761904762,0.5595238095238095,0.21428571428571427,-0.011904761904761918,0
🍆,0x1f346,84,6,37,41,0.07142857142857142,0.44047619047619047,0.4880952380952381,0.41666666666666663,1
🍰,0x1f370,84,13,19,52,0.15476190476190477,0.2261904761904762,0.6190476190476191,0.4642857142857143,1
✓,0x2713,84,9,41,34,0.10714285714285714,0.4880952380952381,0.40476190476190477,0.2976190476190476,0
👐,0x1f450,83,33,19,31,0.39759036144578314,0.2289156626506024,0.37349397590361444,-0.024096385542168697,-1
🙇,0x1f647,83,24,23,36,0.2891566265060241,0.27710843373493976,0.43373493975903615,0.14457831325301207,1
🍟,0x1f35f,83,14,29,40,0.1686746987951807,0.3493975903614458,0.4819277108433735,0.3132530120481928,1
🍌,0x1f34c,82,10,25,47,0.12195121951219512,0.3048780487804878,0.573170731707317,0.4512195121951219,1
💑,0x1f491,82,5,16,61,0.06097560975609756,0.1951219512195122,0.7439024390243902,0.6829268292682926,1
👬,0x1f46c,82,29,29,24,0.35365853658536583,0.35365853658536583,0.2926829268292683,-0.06097560975609756,-1
🐣,0x1f423,81,12,17,52,0.14814814814814814,0.20987654320987653,0.6419753086419753,0.49382716049382713,1
🎃,0x1f383,81,6,19,56,0.07407407407407407,0.2345679012345679,0.691358024691358,0.6172839506172839,1
▬,0x25ac,81,0,42,39,0.0,0.5185185185185185,0.48148148148148145,0.48148148148148145,0
￼,0xfffc,81,44,33,4,0.5432098765432098,0.4074074074074074,0.04938271604938271,-0.49382716049382713,-1
😟,0x1f61f,80,28,18,34,0.35,0.225,0.425,0.07500000000000001,1
🐾,0x1f43e,78,8,13,57,0.10256410256410256,0.16666666666666666,0.7307692307692307,0.6282051282051282,1
🎓,0x1f393,77,7,18,52,0.09090909090909091,0.23376623376623376,0.6753246753246753,0.5844155844155844,1
🏊,0x1f3ca,77,2,27,48,0.025974025974025976,0.35064935064935066,0.6233766233766234,0.5974025974025974,1
🍫,0x1f36b,76,22,20,34,0.2894736842105263,0.2631578947368421,0.4473684210526316,0.15789473684210525,1
📷,0x1f4f7,76,7,28,41,0.09210526315789473,0.3684210526315789,0.5394736842105263,0.4473684210526316,1
👄,0x1f444,75,5,28,42,0.06666666666666667,0.37333333333333335,0.56,0.4933333333333334,1
🌼,0x1f33c,74,1,12,61,0.013513513513513514,0.16216216216216217,0.8243243243243243,0.8108108108108109,1
🚶,0x1f6b6,74,28,29,17,0.3783783783783784,0.3918918918918919,0.22972972972972974,-0.14864864864864866,0
🐱,0x1f431,73,10,14,49,0.136986301369863,0.1917808219178082,0.6712328767123288,0.5342465753424658,1
║,0x2551,73,0,62,11,0.0,0.8493150684931506,0.1506849315068493,0.1506849315068493,0
🐸,0x1f438,72,24,30,18,0.3333333333333333,0.4166666666666667,0.25,-0.08333333333333331,0
