text,offensive
"Bla bla bla, não me convenceu 💩",1
Essa criança não significa nada. Esse assunto é secundário. O assunto mais importante da humanidade é como acabar com a CORRUPÇÃO.,1
Falou e falou e não falou nada só vejo ódio na vida dela nada vê essa menina 😂😂😂😂😂😂,1
Noussa. Quanta hipocrisia.,1
Bosta pura,1
O gado baba de ódio por não terem tamanha sensatez!! Ótimo ver o gado convulsionando!,1
Parabéns a garotinha do George Sorus. Uma laranjinha sendo usada pelas grandes corporações parabéns a menina usada por sua mãe e as gigantes de seu contrato .,1
Imbecil,1
Conversa pra boi 🐄 dormir!,1
"Branco fazendo branquice. Quando o escandinavo resolve salvar o mundo, sai da frente que lá vem discurso grandioso, em inglês perfeito. Que preguiça.",1
Dá medo em saber Q essas mentes maquinan o mal...falam bonito mais negam sua eficácia,1
"Se organizar direitinho, cabe todo mundo num camburão só!",1
Só gente boa! SQN!!!!,1
"Se gritar pega ladrao, nao fica um",1
Isso é um arrastão? 👎👎👎👎👎👎,1
Belo disfarce hein bandidagem 😁,1
Tira esse ameba do Wellington Dias daí. Governador vira casaca,1
Tomou ridícula!😂😂😂😂,1
Prostitutazinha da vai se LASCAR,1
Pilantra,1
😂😂😂PALHAÇA 🤡🤡🤡,1
"Esquerdista mentirosa , saia daí antes de ser demitida se liberte dos Comunista marinho .",1
Cala essa boca vocês não canção de passar vergonha 😡😡😡😡😡,1
😤😤😤😤😤😤,1
Amo ver a Globolixo pagar mico kkkk,1
Crie vergonha com tantas mentiras,1
Incompetente ela sempre foi!,1
Ridícula!,1
Globo lixo,1
"Eu esperava tudo nessa vida, menos a Globo passar tanta vergonha! Que jornalistas tendenciosas, não escapam um. Todos com viés ideológico contra o Governo Federal, que até agora não fez nada de bom para essa emissora lixo.",1
Globo ridícula !!!!!,1
😂😂😂😂😂 vai se fuder globolixo,1
Toma sua filho da puta! Ahahahahahahaaa,1
Adoram fazer papel de bobos 🤡,1
Globosta sempre passando vergonha,1
Se deu mal...globolixo,1
Está idiota só faz cagada.,1
Globo lixo falida,1
Lixo 😂😂😂,1
Cadelinha de estimação da lixo,1
Deixou a tola sem argumentos 😆😆😆😆,1
"Vcs não tem vergonha de mentir desta forma,",1
É Globo é uma vergonha.,1
😂😂😂😂😂😂 jornazista,1
Vergonha alheia da porra,1
A Globo e sua trupe de apresentadores não cansam de passar recibo de idiotas desonestos da desinformação. Aí tomam invertida ao vivo!🤣🤣🤣🤣,1
Vergonha ! Globolixo sempre contra o governo,1
Inbecil essa jornalista,1
Todo dia essa esquerda quer desmoralizar nosso governo. 🇧🇷💚🙏🇧🇷🙏🏿,1
@user para de disseminar lixo... parece q passar vergonha p vc se tornou rotina🤪🤪🤪,1
Chata pra caramba. Tá velhota e horrível.,1
🤣🤣🤣🤣🤣 💩💩💩💩💩💩💩,1
Kkkkkkkkk GloboLixo ja virou chacota!,1
Ridicula e fraca jornalidta global.Cultura alguma.Conhecimento algum.Repete o que lhe mandam.Falta de caráter,1
Se fodeu,1
Essa calhorda já está enrugada de tanto mentir e de pagar mico contra o governo Bolsonaro! Quando será que vai tomar vergonha na cara?,1
Não cansam de passar vergonha!!,1
"E a passa vergonha de novo! 😂 Eee novela chata, que não acaba nunca..aff!!!",1
Essa zero já era para ter aposentado e parar de fazer jornalismo parcial e@user,1
Rsrsrsrs Globo sem globolixo,1
"Isso passou dos limites, porque a Globo não é punida?deveria ser, só fala as notícias distorcidas e falsas.",1
Lixo de profissional,1
"Isso está ficando ridículo, estes jornalistas não tem vergonha? Afff.🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️",1
A Globo é um.lixo hoje falou o tempo todo acusando o Bolsonaro..Cadê os 19 governadores da esquerda do Nordeste??,1
GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO,1
"😂😂😂😂😂 cortaram ele na hora kkkk nem deixaram ele continuar explicando, Globolixo",1
Globo e um lixo,1
O Leilane cala essa boca suja greluda,1
Não tem jeito pra essa gentalha da Globosta!,1
A ânsia de atacar nosso Presidente é insana. qual a dificuldade desta gente em respeitar os resultados das urnas? que vão para o inferno. Tem que respeitar meu voto sim.,1
Como sempre atrapalhando o teu pai. Nunca vi tanto filho atrapalhando o próprio pai como presidente da República.,1
"Ai5 é meus ovos , entrevista de qualidade de gente sem cérebro🍊🍊🍊🍊🍊🍊🍊🍊",1
Falou em inglês nessa entrevista aí ? Burro 😂😂😂,1
"Minha ideologia é o Brasil, deixa o povo ficar em silêncio...A esquerda toma conta e os oportunistas .",1
Filho da puta,1
Adorei o quem é fã do Queiroz 😂😂 A esquerdalha ñ desiste!!!!,1
Uma das mais privilegiadas mentes do meio jornalístico. Não trouxe o rancor da globolixo. Parabéns Leda.,1
👏👏👏👏👏 esquerdopatas piram!!,1
Rei ARTHUR DECLARA: OLIMPÍADA do RIO FOI COMPRADA. É $Ó VA$ CULHAR que SURGIRÃO MAI$ CRIME$. 🇧🇷,1
Esse vídeo foi de 2016 esse imbecil fez isso e só falaram agora ?,1
Ele nao é gagá. Ele é fruto dessa sociedade misogina que aplaude qq merda q ele faz,1
Que escroto caquético! É a velha hipocrisia judaica no mundo dos pilantras monetários.,1
Gaga...,1
Silvio Santos é a cara do senhor do engenho,1
@user misógino. Vcs combinam mesmo @user,1
Esse e doente😭,1
"Como pode ser TÃO PODRE, TÃO RIDÍCULO?!?!",1
Dá nojo!! 🤢,1
Este Silvio Santos é um idiota não respeita ninguém só poderei apoiar mesmo este outro tal de bosta naro,1
Ridículo ainda bem que não dou ibope pra esse lixo,1
"Esse governo escroto e esse Sr: que tanto falam de família e bons costumes, estão me saindo um bando hipócritas!",1
Homenzinho de última!,1
@user.lavigne.3388 NOJO! por isso prefiro assistir o fantástico aos fins de domingo. Porque contém informações e conteúdos!,1
Nojo,1
velho nojento 🤮,1
Nojooooo,1
NOJENTO. ESCROTO 😒,1
Ser escroto!!!! 😤😠😡,1
E essas mulheres rindo????? Credo,1
Nojo!,1
"O nome disso não senilidade, chama-se PEDOFILIA!!!",1
Velho escroto,1
Que bosta,1
Repulsa...,1
Isso é mais do que constrangimento! Cretino,1
Nojo!,1
Está gagá!,1
"Velho nojento, vocabulário imundo.👊👊👊👊",1
"Alguém tem que parar essa criatura,já passou do limite...loucura.",1
Ele está gaga,1
Eu tenho nojoooooo 🤮 desse homem,1
Denúncia esse sujeito escroto,1
velho nojento babão se fosse um pobre já tinha ido preso,1
Isso é um imbecil!,1
"Velho nojento 🤮,igual o mito 😰",1
Se o comandante não respeita o povo. Eu o odeio por isso. Agora passo a odiar esse cara aí protegido pelo dinheiro ódio e nojo.....,1
COMUNISTA filho da puta,1
coragem pq noção não tem,1
Eu jogava essa porcaria no chão!,1
Ridículo esse cara,1
Velho asqueroso!!!,1
"Perturbador, asqueroso, ridículo. 😡",1
Velho gagá! E ninguém impede esse Zé Alzheimer!!!!,1
Nojo,1
Interdita esse homem.,1
"Meu Deus, que absurdo!! Escroto, não tem outra palavra!!!",1
Nojento.,1
Isso é no cúmulo.... Simplesmente ridículo!!!,1
"Nojo!!!! Mas a família tradicional brasileira adora, não é? Muita hipocrisia!!! 🤮🤮🤮",1
Tudi lixo e me admiro mães levando crianças lá 😩,1
Ridículo,1
Ridículo,1
"Pelo amor de Deus, cadê o pai desta criança não vai, fazer nada só porque o veio do sbt é amigo do bozo?",1
Que imbecil.,1
Estas pessoas que tratam esse verme Silvio Sanntos ccomo caduco no fundo pensam como ele.,1
Ainda aplaudem uma carniça dessas...,1
Este lixo e igual ao ditador Bozo filho da puta,1
Cadê o MPF?? Tv é uma concessão pública!!! Esse depravado não pode fazer da emissora e do programa dele o que bem quer e entende.,1
Interna essa coisa,1
Meu deus isso é nojento,1
Ridiculo esse senhor,1
NOJENTO!,1
Facista nojento amigo de BOZO.,1
Ridículo!!!!!,1
Nojento,1
Repugnante,1
Eu só queria que a Maísa desse um pé na bunda desse nojento! Uma rainha daquelas❤️,1
Cretino,1
"Interditem esse velhote urgentemente e que a família assuma a emissora ou que a concessão seja passa à frente por pessoas mais competentes e responsáveis.O SBT já não faz mais programa para a FAMÍLIA brasileira com respeito como antes. Senor Abravanel,o senhor está sem noção.",1
👹SILVIO DOIDO👈🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1
Ainda tem quem ache engraçado esse velho pervertido,1
Faz parte do patriarcado brasileiro querem o que?? Homens nojentos que já veem meninas como mulheres.,1
Perdedores.,1
2 safados!,1
"puta que pariu , comunista filho da puta",1
Ainda bem q nos livramos disso 🙏🙏,1
"Foto pesada slc, mais pesado que os quilo do condenado do lula",1
COMUNISTAS! rs,1
Dois pilantras.,1
Cruz credo.,1
Tranqueiras......,1
Que comunistinhas lindos 💜😆,1
"Fernando, a Globo está negociando com demônios outra vez... mas, o que acontece... no MUNDO espiritual alguém está cortando a macumba da Globo🌶hoje um astronauta morreu... se comunique com os partidos de Esquerda do B' Dos BRICS... e fale o ocorrido🙏 Mahasiah Amém🙏 a Globo Biscate NÃO",1
Inútil ambos,1
KD as mídias que defendem a mulher lá o ativismo na verdade só é válido quando e da turma petralha,1
Caralho!! Que jornalista desgraçado!!!,1
Que absurdo meu Deus!!!! Na ditadura uma dessa neguinho ia pro xilindró... ninguém vai fazer nada???🥵🥵🥵🥵🥵🥵,1
"Muito bem respondido a esses carniceiros da imprensa marrom brasileira...o silêncio as vezes é melhor do que mil palavras ...basta ser bom entendedor .. globô bolixo,Uol e grupo",1
"Divulguem o nome do jornalista, tem que ser levado a justiça, cadeia nele.",1
"Um babaca desse tipo tem a responder um processo sinistro, tirar até as cuecas de um miserável ordinário desses.",1
Imprensa podre a Ministra Damares é protegida por Deus,1
Carta capital é super esquerdista comunista do mal.Somos todos Damares!!!!!!!,1
"Me solidarizo com a senhora ministra, esse ser que escreveu é completamente desprovido de ética, decência, indoli, moral, um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora.",1
Que nível nojento chegou a imprensa esquerdopata. Tá na hora de descarregar processos em cima desses psicopatas,1
"Carta capital , revestinha de banca, sórdida!",1
Não gostei do teatrinho dela.,1
vamos fazer alguma coisa... acredito plenamente q esse verme nao é humano...gostaria de saber o nome desse filho da puta,1
A imprensa parece as vezes um judas.,1
Esses bandidos vão pagar caro. Nossa ministra é uma grande mulher🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏,1
Maldita imprensa esquerdopata!,1
"Ministra, de os nomes pra que todos saibam quem são os covardes e mais, processe-os imediatamente.",1
"Demônios esquerdistas, essa carta capital é a escória do jornalismo",1
Chamar um vagabundo desses dd Horn,1
Esses filho da puta que tinham que ficar em cela com esses criminosos que não vem uma mulher há tempos !!,1
Ainda ter retardado que da audiencia a um jornal lixo desses.,1
"As mulheres te respeitam Damaris! Continue firme com seus propósitos, não permite que um cafajeste, um troglodita te faça sentir mal!",1
Esta revista é podre. Só os ratos dos esgotos mais imundos a leem,1
"Esse texto faz parte de um plano vídeo de um grupo desesperado ávido por poder com uma dor profunda por ter perdido nas urnas. Um imbecil desses merece um belo processo e uma bela investigação devastando sua vida. Se um jumento desses se diz jornalista, lastimo pela categoria profissional denegrida por esse infame.",1
E os diretos morais? Processe os canalhas!,1
Deviamos invadir o insta dessa carta capital e falar oq eles merecem ler...senti a angústia nas palavras da ministra Damares...estou contigo,1
"Vagabundo, safado.",1
"Não há limites para a desumanidade da mídia e de opositores do mal, perversos, cheios de raiva e deboche. Felizmente ela tem muita fibra...se recompõe e volta a ser incisiva e justa onde é necessário. A esquerda pode TUDO, até mesmo atos criminosos, os outros NADA.",1
Dá até náuseas ouvir um texto desse jornalista/vagabundo!!!,1
"Meu Deus que vergonha desses seres travestido de humanos! São as crias de lucifer, não tem outra explicação...",1
E a AGR vai fazer alguma coisas com estes canalhas que atacou a ministra com estas palavras?,1
"Que terror! Meu Deus que desumanidade!!! Como um homem desse ainda é ouvido por alguém!? Como alguem ainda ousa contratar seus servicos de jornalista ainda!? Só alguém q é igual a ele, alguém asqueroso, desumano e cristofobico! 😡😡",1
"Jornalistas babaca, somos todos Damares❤️❤️❤️",1
Que absurdo eu colocaria esse verme na cadeia para aprender respeitar pelos menos a mãe dele pq quando ele ataca uma mulher ataca a sua propria genitora que vergonha de um ser deplorável desse 😠😠😠😠😠😈😈😈😈,1
O idiota deu a faca e o queijo a Ministra Damares para processa lo. Kkkkk,1
QUEM ESCREVEU ESSAS IMUNDÍCIES REPUGNANTES E QUEM AS PUBLICOU DEVERIAM SER ENTREGUES AOS VINTE PRRDID,1
"Quanto absurdo, ai isso as feministas de esquerda devem achar bonito",1
A esquerda è desprezível!! 😤😕 sem mais...,1
Jornalista filho do demônio comunistas,1
"Assustador 😱😨😥😔 espero que não fique por isso mesmo, ela precisa processar esses vermes, além do canal de denuncia, que é uma excelente ideia, tem que processar e endurecer as leis e o cumprimento delas.",1
Porque a Imprensa nojenta não se manifesta ! A esquerda pode tudo né!? 😠,1
Meu Deus..que abominável este jornalista..força ministra estamos com a senhora.😭😭,1
"Uma vergonha! Isto nem ė um jornalista ė uma psicopata prestes a sair do armário pois ele se expressa em seus textos, e se brincar um estuprador em potencial !",1
A imprensa está podre.,1
"@user papel ridículo que se prestam, cabe um processo nesse jornalista asqueroso, doente e nojento!",1
"Imprensa lixo, ela não deveria dar mais entrevista. Nojooooo",1
"Quem falou isso nunca foi e e nunca será um homem, não passa de um rato de esgoto, safado, que joga baixo, como todos da esquerda, e nao importa de qué lado ele é, se de directa ou esquerda, a ofença e o crime continua siendo o mesmo, afina se isso fosse sito contra esses imundos comunistas, pois eles TEM o total direito de ofender quem quer que seja, mas jamais podem ser ofendidos.",1
"Essa nossa imprensa, me dá asco!",1
